id,label,shape,background-color,fontcolor,rank,subgraph,connection_from,connection_to,edgeLabel,is_terminal,href,descr,
Presentation,Presentation,ellipse,#cd6886,white,3,Design framework,,,,yes,https://www.neurobs.com/menu_presentation/menu_features/features_overview,Presentation® is a stimulus delivery and experiment control program for neuroscience. Check whether your insitution got a licence for it.,
Study Implementation,Study Implementation,rectangle,Purple,white,1,initial,,,,no,NA,NA,
Preregistration Framework,Preregistration Framework,diamond,Cyan,white,2,StudyImplementation,,,,no,NA,NA,
Registered Report Framework,Registered Report Framework,diamond,Cyan,white,2,StudyImplementation,,,,yes,https://www.cos.io/initiatives/registered-reports,NA,
PROSPERO,PROSPERO,ellipse,#cd6886,white,3,Preregistration Framework,,,,yes,PROSPERO (york.ac.uk),"PROSPERO accepts registrations for systematic reviews, rapid reviews and umbrella reviews. PROSPERO does not accept scoping reviews or literature scans. Sibling PROSPERO sites registers systematic reviews of human studies and systematic reviews of animal studies.",
OSF Templates,OSF Templates,ellipse,#cd6886,white,3,Preregistration Framework,,,,yes,https://osf.io/zg78t,A list of available preregistration templates.,
AsPredicted Templates,AsPredicted Templates,ellipse,#cd6886,white,3,Preregistration Framework,,,,yes,https://aspredicted.org/,A platform to upload AsPredicted preregistrations.,
Stimulus Material,Stimulus Material,diamond,Cyan,white,2,Study Implementation,,,,no,NA,NA,
EMBODY/EMFACE,EMBODY/EMFACE,ellipse,#cd6886,white,3,StimulusMaterial,,,,yes,https://www.psychologie.uni-freiburg.de/abteilungen/psychobio/tests,This is a 2022 published tool to measure how good people can recognize emotions in the body or face.,
Empathy for pain,Empathy for pain,ellipse,#cd6886,white,3,StimulusMaterial,,,,yes,https://t.co/fCm0u2swGQ,Pictures showing hands in painful situations that can be used to assess empathy for others' pain.,
Full body stimuli,Full body stimuli,ellipse,#cd6886,white,3,StimulusMaterial,,,,yes,https://www.paulconnorpsych.com/stimuli,Need some full-body stimuli in your experiments? Look no further.,
KAPODI,KAPODI,ellipse,#cd6886,white,3,StimulusMaterial,,,,yes,https://airtable.com/shrnVoUZrwu6riP9b/tbljKUnVvikhzaNvF/viwlo7OvlHBG2q88P?blocks=hide,A huge database of every emotional stimuli you can think of and may want to use in your experiments.,
Piloting,Piloting,rectangle,Purple,white,1,initial,,,,no,NA,NA,
Data simulation,Data simulation,diamond,Cyan,white,2,Piloting,,,,yes,"https://gretel.ai/blog/data-simulation#:~:text=Data%20simulation%20is%20the%20process,predict%20events%20and%20validate%20models.",Data simulation in an experiment involves creating artificial or synthetic data that mimics the characteristics of real-world data. This process is commonly used for testing and validation purposes.,
Data collection,Data collection,rectangle,Purple,white,1,initial,,,,no,NA,NA,
Survey,Survey,diamond,Cyan,white,2,Typeofdata,,,,no,NA,NA,
formr,formr,ellipse,#cd6886,white,3,Survey,,,,yes,https://formr.org/,"Chain simple surveys into long runs, use the power of R to generate pretty feedback and complex designs.",
fMRI,fMRI,diamond,Cyan,white,2,Typeofdata,,,,no,NA,NA,
BIDS,BIDS,ellipse,#cd6886,white,3,fMRI,,,,yes,https://bids.neuroimaging.io/,A simple and easy to adopt way of organizing neuroimaging and behavioral data.,
Existing data,Existing data,diamond,Cyan,white,2,Typeofdata,,,,no,NA,NA,
24 days of databases,24 days of databases,ellipse,#cd6886,white,3,Existing data,,,,yes,https://twitter.com/fier_caitlin/status/1333731512676651008?s=20,Somebody on Twitter was gracious enough to summarize some cool datasets that you can work on.,
Popane dataset,Popane dataset,ellipse,#cd6886,white,3,Existing data,,,,yes,https://osf.io/94bpx/,"A large database on the psychophysiology of positive and negative emotions. ""This database involves recording of 1157 healthy participants, collected across seven studies, a continuous recordof self-reported affect along with several biosignals (electrocardiogram, impedance cardiogram, electrodermal activity, hemodynamic measures, e.g., blood pressure), respiration trace, and skin temperature. [The authors] experimentally elicited a wide range of positive and negative emotions, including amusement, anger, disgust, excitement, fear, gratitude, sadness, tenderness, and threat"".",
Landscaping Longitudinal Research,Landscaping Longitudinal Research,ellipse,#cd6886,white,3,Existing data,,,,yes,https://www.landscaping-longitudinal-research.com/,Landscaped longitudinal datasets from across the world,
Data validation,Data validation,rectangle,Purple,white,1,initial,,,,no,NA,NA,
Data management,Data management,diamond,Cyan,white,2,Data validation,,,,no,NA,NA,
FAIR data,FAIR data,ellipse,#cd6886,white,3,Data management,,,,yes,https://www.nature.com/articles/sdata201618,The FAIR Guiding Principles for scientific data management and stewardship.,
RDMkit,RDMkit,ellipse,#cd6886,white,3,Data management,,,,yes,https://rdmkit.elixir-europe.org/,"The Research Data Management toolkit for Life Sciences. Best practices and guidelines to help you make your data FAIR (Findable, Accessible, Interoperable and Reusable).",
Diffchecker,Diffchecker,ellipse,#cd6886,white,3,Data management,,,,yes,https://www.diffchecker.com/,Diffchecker will compare text to find the difference between two text files. Just paste your files and click Find Difference,
Preprocessing,Preprocessing,diamond,Cyan,white,2,Datavalidation,,,,no,NA,NA,
Type of data,Type of data,ellipse,#cd6886,white,3,Preprocessing,,,,no,NA,NA,
EEG,EEG,ellipse,Thistle,white,4,Typeofdata,,,,yes,https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/electroencephalogram-eeg,NA,
fMRI,fMRI,ellipse,Thistle,white,4,Typeofdata,,,,no,NA,NA,
AFNI,AFNI,ellipse,?,white,5,fMRI,,,,yes,https://afni.nimh.nih.gov/,"AFNI (Analysis of Functional NeuroImages) is a leading software suite of C, Python, R programs and shell scripts primarily developed for the analysis and display of multiple MRI modalities: anatomical, functional MRI (FMRI) and diffusion weighted (DW) data.",
SPM,SPM,ellipse,?,white,5,fMRI,,,,yes,https://www.fil.ion.ucl.ac.uk/spm/,Statistical Parametric Mapping refers to the construction and assessment of spatially extended statistical processes used to test hypotheses about functional imaging data.,
FSL,FSL,ellipse,?,white,5,fMRI,,,,yes,https://fsl.fmrib.ox.ac.uk/fsl/fslwiki,"FSL is a comprehensive library of analysis tools for FMRI, MRI and DTI brain imaging data. ",
Freesurfer,Freesurfer,ellipse,?,white,5,fMRI,,,,yes,https://surfer.nmr.mgh.harvard.edu/,"An open source neuroimaging toolkit for processing, analyzing, and visualizing human brain MR images",
DICOM tags,DICOM tags,ellipse,?,white,5,fMRI,,,,yes,https://exiftool.org/TagNames/DICOM.html,Do you want to know where a specific information is saved in the DICOM file of your imaging data. Check out DICOM Tags.,
Data analysis,Data analysis,rectangle,Purple,white,1,initial,,,,no,NA,NA,
Data Visualization,Data Visualization,diamond,Cyan,white,2,Dataanalysis,,,,no,NA,NA,
fMRI,fMRI,ellipse,#cd6886,white,3,DataVisualization,,,,no,NA,NA,
Neurosynth,Neurosynth,ellipse,Thistle,white,4,fMRI,,,,yes,https://neurosynth.org/,"NeuroSynth is for large-scale, automated synthesis of functional magnetic resonance imaging (fMRI) data. You can search for word associations and papers with specific MNI coordinates.",
MRIcroGL,MRIcroGL,ellipse,Thistle,white,4,fMRI,,,,yes,https://www.nitrc.org/projects/mricrogl/,"MRIcroGL is a software program used for visualizing and analyzing medical imaging data, particularly MRI (Magnetic Resonance Imaging) scans. It is a 3D viewer that allows researchers, clinicians, and students to examine brain images and perform various analyses, such as rendering images, exploring brain structures, and applying overlays to display additional information.",
MRIcron,MRIcron,ellipse,Thistle,white,4,fMRI,,,,yes,https://people.cas.sc.edu/rorden/mricron/index.HTML,"MRIcron is a widely used software tool for viewing and analyzing medical imaging data, particularly MRI (Magnetic Resonance Imaging) scans. It provides a user-friendly interface for visualizing 2D and 3D images, enabling researchers and clinicians to explore anatomical structures, apply overlays for functional data, and conduct basic analyses.",
Nipype,Nipype,ellipse,Thistle,white,4,fMRI,,,,yes,https://nipype.readthedocs.io/en/latest/,Nipype (Neuroimaging in Python: Pipelines and Interfaces) is an open-source Python library designed for building and executing neuroimaging analysis pipelines. ,
fMRI analysis course,fMRI analysis course,ellipse,Thistle,white,4,fMRI,,,,yes,https://ucl.podia.com/designing-and-analysing-fmri-experiments,Learn how to design and analyze fMRI experiments in this free course.,
RepoNeuroVis,RepoNeuroVis,ellipse,Thistle,white,4,fMRI,,,,yes,https://github.com/sidchop/RepoNeuroVis,A practical guide for generating reproducible and programmatic neuroimaging visualizations.,
Brain Atlas Framework,Brain Atlas Framework,ellipse,Thistle,white,4,fMRI,,,,yes,https://doi.org/10.1016/j.neuroimage.2022.118986,For Neuroimaging beginners: Ever found yourself lost in the world of atlases and needed someone to create a summary to find an atlas best suited for your study? Here it is.,
Web plot digitizer,Web plot digitizer,ellipse,#cd6886,white,3,DataVisualization,,,,yes,https://automeris.io/WebPlotDigitizer/,Helps you to reverse engineer data from visualizations by extracting the underlying numerical values.,
Colors,Colors,ellipse,#cd6886,white,3,Data Visualization,,,,no,NA,NA,
Color converter,Color converter,ellipse,Thistle,white,4,Colors,,,,yes,https://www.farb-tabelle.de/en/rgb2hex.htm?q=gray20,"If you need to find out the code for a certain color, check this handy converter.",
Cols4all,Cols4all,ellipse,Thistle,white,4,Colors,,,,yes,https://github.com/mtennekes/cols4all,"An R package ""for selecting color palettes. 'Color for all' refers to [the authors'] mission that colors should be usable for not just people with normal color vision, but also for people with color vision deficiency"".",
Color oracle,Color oracle,ellipse,Thistle,white,4,Colors,,,,yes,https://colororacle.org/index.html,A piece of software that helps you tell whether your plot or slide is accessible to folk with different colour vision impairments.,
Color picker,Color picker,ellipse,Thistle,white,4,Colors,,,,yes,https://imagecolorpicker.com/,Upload an image and pick the hex code of any color in the image.,
Figure Creator,Figure Creator,ellipse,#cd6886,white,3,DataVisualization,,,,no,NA,NA,
RAWgraphs,RAWgraphs,ellipse,Thistle,white,4,DataVisualization,,,,yes,https://www.rawgraphs.io/,RAWGraphs is an open source data visualization framework built with the goal of making the visual representation of complex data easy for everyone.,
BioRender,BioRender,ellipse,Thistle,white,4,Figure Creator,,,,yes,https://www.biorender.com/,"The all-in-one tool for research visualization in a free and paid verson. Visualize study designs and results, or even design whole posters using their tools and icons.",
Canva,Canva,ellipse,Thistle,white,4,Figure Creator,,,,yes,https://www.canva.com/de_de/,"Canva is amazing for creating content such as slides, figures and there are so many great (and free!) designs to choose from.",
Choose your plot,Choose your plot,ellipse,Thistle,white,4,Figure Creator,,,,yes,https://www.linkedin.com/posts/opensourcecommunity_data-datastorytelling-datascience-activity-6879744977417592832-9y4J/,No idea how to best plot your data? Have a look at this image.,
Autodraw,Autodraw,ellipse,Thistle,white,4,Figure Creator,,,,yes,https://www.autodraw.com/,AutoDraw magically makes your doodles into nicer graphics by suggesting shapes based on what you drew.,
Brain code selector,Brain code selector,ellipse,Thistle,white,4,Figure Creator,,,,yes,https://sidchop.shinyapps.io/braincode_selector/,"This tool summarized tools to visualize brain data in R, Python, and Matlab.",
Make your own scatterplot,Make your own scatterplot,ellipse,Thistle,white,4,Figure Creator,,,,yes,https://drawdata.xyz/,This handy tool allows you to draw in scatterplot points and download a CSV file with the coordinates.,
Mermaid,Mermaid,ellipse,Thistle,white,4,Figure Creator,,,,yes,https://mermaid.js.org/,Mermaid lets you create diagrams and visualizations using text and code.,
Icons,Icons,ellipse,#cd6886,white,3,DataVisualization,,,,no,NA,NA,
BioIcons,BioIcons,ellipse,Thistle,white,4,Icons,,,,yes,https://bioicons.com/,A free alternative to BioRender.,
Flaticon,Flaticon,ellipse,Thistle,white,4,Icons,,,,yes,https://www.flaticon.com/,"Flaticon has a huge amount of free stickers and icons, ready to download and use.",
Font Awesome,Font Awesome,ellipse,Thistle,white,4,Icons,,,,yes,https://fontawesome.com/v5.15/icons?d=gallery&p=2&m=free,"Font Awesome has loads of free icons to choose from to use in presentations, posters, etc.",
Phylopic,Phylopic,ellipse,Thistle,white,4,Icons,,,,yes,https://github.com/helenahartmann/awesome-PhD/blob/main/phylopic.org,An open database of freely usable silhouettes of life forms.,
GitHub,GitHub,diamond,Cyan,white,2,Dataanalysis,,,,no,NA,NA,
GitHub cheatsheet,GitHub cheatsheet,ellipse,#cd6886,white,3,GitHub,,,,yes,https://twitter.com/NikkiSiapno/status/1593882400983072769?t=iOvK_Nm0pe4DrpNL9C0njw&s=19,"Confused by commit, stage, stash, fetch, etc. on GitHub? Here's the sheet for you.",
fNIRS,fNIRS,diamond,Cyan,white,2,Dataanalysis,,,,no,NA,NA,
fNIRS cheatsheet,fNIRS cheatsheet,ellipse,#cd6886,white,3,fNIRS,,,,yes,https://twitter.com/katharina_stute/status/1579119875082985472?t=ljO6m2u8XxfazCZLVhBbsg&s=19,A hitchhiker's guide to fNIRS data analysis for beginners.,
Reproducibility,Reproducibility,diamond,Cyan,white,2,Dataanalysis,,,,no,NA,NA,
renv (R),renv (R),ellipse,#cd6886,white,3,Reproducibility,,,,yes,https://rstudio.github.io/renv/articles/renv.html,"Renvironments, a term coined by the package's name, refer to R project-specific environments that isolate the package versions and dependencies used in that project enabeling reproducible environments. ",
Docker,Docker,ellipse,#cd6886,white,3,Reproducibility,,,,yes,https://www.docker.com/,"Docker is a platform and tool designed to create, deploy, and manage applications using containerization. Containerization is a technology that allows you to package an application and its dependencies, including libraries, runtime, and system tools, into a single standardized unit called a ""container."" Containers provide an isolated and consistent environment for running applications, regardless of the underlying operating system or infrastructure.",
Datapasta (R),Datapasta (R),ellipse,#cd6886,white,3,Reproducibility,,,,yes,https://github.com/MilesMcBain/datapasta,"This R package is ""about reducing resistance associated with copying and pasting data to and from R"". Copy data from Excel and paste it into R as a dataframe or tibble.",
Analysis Framework,Analysis Framework,diamond,Cyan,white,2,Dataanalysis,,,,no,NA,NA,
PSPP,PSPP,ellipse,#cd6886,white,3,AnalysisFramework,,,,yes,https://www.gnu.org/software/pspp/,"GNU PSPP is a free and open-source software application used for statistical analysis of data. It is designed to provide similar functionality to proprietary software like IBM SPSS (Statistical Package for the Social Sciences). PSPP is part of the GNU Project, which aims to develop a complete, free, and open-source operating system.",
SPSS,SPSS,ellipse,#cd6886,white,3,AnalysisFramework,,,,yes,https://www.ibm.com/products/spss-statistics," IBM SPSS (Statistical Package for the Social Sciences) is a proprietary software application used for statistical analysis, data manipulation, and data visualization. It is widely utilized in social science research, business analytics, and academic settings for its comprehensive set of statistical tools and user-friendly interface.",
R,R,ellipse,#cd6886,white,3,AnalysisFramework,,,,no,NA,NA,
FSBrain,FSBrain,ellipse,Thistle,white,4,R,,,,yes,https://cran.r-project.org/web/packages/fsbrain/vignettes/fsbrain.html,"This R package ""helps visualize surface-based brain structure data for large groups of subjects with very little code"" and ""also supports the computation of simple brain morphometry measures"".",
GGhelp,GGhelp,ellipse,Thistle,white,4,R,,,,yes,https://rdrr.io/github/brandmaier/ggx/man/gghelp.html,"An R package that ""converts a natural language query into a 'ggplot2' command string"".",
GGplot tricks,GGplot tricks,ellipse,Thistle,white,4,R,,,,yes,https://twitter.com/data_question/status/1496130684729303045?s=20,Some tricks from the R people to level up your ggplot game.,
R visualization,R visualization,ellipse,Thistle,white,4,R,,,,yes,https://wilkelab.org/SDS375/syllabus.html,"This is a great syllabus about visualizing data in R, held by Claus Wilke.",
R graph gallery,R graph gallery,ellipse,Thistle,white,4,R,,,,yes,https://r-graph-gallery.com/,A collection of charts made with the R programming language.,
RStudio,RStudio,ellipse,Thistle,white,4,R,,,,no,https://posit.co/,NA,
Cheatsheets 1,Cheatsheets 1,ellipse,?,white,5,RStudio,,,,yes,https://posit.co/resources/cheatsheets/,There are loads of cheat sheets to help you find your way around in R. ,
Cheatsheets 2,Cheatsheets 2,ellipse,?,white,5,RStudio,,,,yes,https://www.rstudio.com/resources/cheatsheets/,Another load of cheat sheets to help you find your way around in R. ,
JASP,JASP,ellipse,#cd6886,white,3,AnalysisFramework,,,,yes,https://jasp-stats.org/,JASP offers standard analysis procedures in both their classical and Bayesian form.,
Python,Python,ellipse,#cd6886,white,3,AnalysisFramework,,,,no,NA,NA,
Jupyter Notebook,Jupyter Notebook,ellipse,Thistle,white,4,Python,,,,yes,https://jupyter.org/,"Jupyter Notebook is an open-source web application that allows users to create and share documents containing live code, equations, visualizations, and narrative text. It's commonly used for interactive data analysis, data visualization, machine learning experimentation, and collaborative research across various programming languages.",
Cheatsheets,Cheatsheets,ellipse,?,white,5,JupyterNotebook,,,,yes,https://www.edureka.co/blog/wp-content/uploads/2018/10/Jupyter_Notebook_CheatSheet_Edureka.pdf," A cheatsheet in Python is a concise reference guide that provides a quick overview of essential syntax, functions, methods, and concepts, aiding developers in writing code more efficiently.",
Google Colab,Google Colab,ellipse,Thistle,white,4,Python,,,,yes,https://colab.research.google.com/,"Google Colab (short for Colaboratory) is a free cloud-based platform that provides an interactive environment for writing and executing Python code, particularly well-suited for machine learning, data analysis, and research, with the added advantage of GPU acceleration.",
Matlab,Matlab,ellipse,#cd6886,white,3,AnalysisFramework,,,,yes,https://de.mathworks.com/products/matlab.html,MATLAB is a programming and numeric computing platform.,
Meta-analysis,Meta-analysis,diamond,Cyan,white,2,Dataanalysis,,,,no,NA,NA,
Syllabus,Syllabus,ellipse,#cd6886,white,3,Meta-analysis,,,,yes,http://mgto.org/metaanalysissyllabus ,Resources for learning (and teaching) on how to conduct Meta-Analyses and Systematic Reviews,
Metafor (R),Metafor (R),ellipse,#cd6886,white,3,Meta-analysis,,,,yes,https://metafor-project.org/doku.php,Use the metafor package in R for your meta-analyses.,
Coda,Coda,ellipse,#cd6886,white,3,Meta-analysis,,,,yes,https://cooperationdatabank.org/,"Use Coda, a machine-readable history of cooperation research, to search, select and visualize studies for on-demand meta-analysis.",
Metalab,Metalab,ellipse,#cd6886,white,3,Meta-analysis,,,,yes,https://langcog.github.io/metalab/,"This website features interactive, community-augmented meta-analysis tools for cognitive development research.",
Templates,Templates,ellipse,#cd6886,white,3,Meta-analysis,,,,yes,https://psycnet.apa.org/record/2020-66880-001,"A primer and tutorial paper on ""Conducting a meta-analysis in the age of open science: Tools, tips, and practical recommendations"", including nine templates free for use, from preregistration to code to data.",
Neuroquery,Neuroquery,ellipse,#cd6886,white,3,Meta-analysis,,,,yes,https://neuroquery.org/,"NeuroQuery is a tool for meta-analysis of neuroimaging studies, relating text queries to activations as well as associations between terms used together in neuroimaging publications. More info in the corresponding paper.",
Writing,Writing,rectangle,Purple,white,1,initial,,,,no,NA,NA,
Crediting,Crediting,diamond,Cyan,white,2,Writing,,,,no,NA,NA,
Tenzing,Tenzing,ellipse,#cd6886,white,3,Crediting,,,,yes,tenzing (shinyapps.io),Use the Tenzing ShinyApp for quickly and easily documenting contributorship.,
CRediT ,CRediT,ellipse,#cd6886,white,3,Crediting,,,,yes,CRediT author statement (elsevier.com),"Use the CRedit Author Statement by Brandt et al. (2015, Learned Publishing) to report each author’s proper contribution to a manuscript.",
Scite,Scite,ellipse,#cd6886,white,3,Crediting,,,,yes,https://scite.ai/,"A platform for evaluating scientific articles via smart citations, which allows users to assess how a publication has ben cited.",
Grateful,Grateful,ellipse,#cd6886,white,3,Crediting,,,,yes,https://github.com/Pakillo/grateful,Use the grateful package in R to automatically create a reference list for all your used R packages.,
